table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
"fps","additionalcosts_log","1","sequenceno","integer","NO","nextval('fps.additionalcosts_log_sequenceno_seq'::regclass)"
"fps","additionalcosts_log","2","jobcode","character varying","NO",""
"fps","additionalcosts_log","3","account","character varying","NO",""
"fps","additionalcosts_log","4","description","character varying","NO",""
"fps","additionalcosts_log","5","itemcost","money","NO",""
"fps","additionalcosts_log","6","freq","character varying","YES",""
"fps","additionalcosts_log","7","supplier","character varying","YES",""
"fps","additionalcosts_log","8","date_time","timestamp without time zone","YES",""
"fps","additionalcosts_log","9","user_id","character varying","YES",""
"fps","additionalcosts_log","10","insert_delete","character","YES",""
"fps","additionalcosts_log","11","fpsyear","integer","NO",""
"fps","all_staff_project","1","pactid","USER-DEFINED","YES",""
"fps","all_staff_project","2","parentproject","USER-DEFINED","YES",""
"fps","all_staff_project","3","fpsyear","integer","YES",""
"fps","all_wg_project","1","workgroup","USER-DEFINED","YES",""
"fps","all_wg_project","2","project","USER-DEFINED","YES",""
"fps","all_wg_project","3","fpsyear","integer","YES",""
"fps","animalreq_log","1","sequenceno","integer","NO","nextval('fps.animalreq_log_sequenceno_seq'::regclass)"
"fps","animalreq_log","2","jobcode","character varying","NO",""
"fps","animalreq_log","3","animaltype","character varying","NO",""
"fps","animalreq_log","4","numberofdays","double precision","NO",""
"fps","animalreq_log","5","numberofanimals","double precision","NO",""
"fps","animalreq_log","6","date_time","timestamp without time zone","YES",""
"fps","animalreq_log","7","user_id","character varying","YES",""
"fps","animalreq_log","8","insert_delete","character","YES",""
"fps","animalreq_log","9","fpsyear","integer","NO",""
"fps","costcentre","1","costcentre","double precision","NO",""
"fps","costcentre","2","profitcentre","USER-DEFINED","NO",""
"fps","costcentre","3","fpsyear","integer","NO",""
"fps","divisiongrade","1","divisiongrade","USER-DEFINED","NO",""
"fps","divisiongrade","2","gradecode","USER-DEFINED","NO",""
"fps","divisiongrade","3","division","USER-DEFINED","NO",""
"fps","divisiongrade","4","chargerate","money","YES","0"
"fps","divisiongrade","5","directrate","money","YES","0"
"fps","divisiongrade","6","payrate","money","YES","0"
"fps","divisiongrade","7","npr","money","YES","0"
"fps","divisiongrade","8","ohr","money","YES","0"
"fps","divisiongrade","9","fpsyear","integer","NO",""
"fps","fpsyeartotals","1","parentproject","character varying","NO",""
"fps","fpsyeartotals","2","program","character varying","NO",""
"fps","fpsyeartotals","3","totaladditionalcosts","money","YES",""
"fps","fpsyeartotals","4","totalanimalcosts","double precision","YES",""
"fps","fpsyeartotals","5","totalstaffcosts","double precision","YES",""
"fps","fpsyeartotals","6","totaltestcosts","double precision","YES",""
"fps","fpsyeartotals","7","totalcosts","double precision","YES",""
"fps","fpsyeartotals","8","custincome","money","NO",""
"fps","fpsyeartotals","9","transferincome","money","NO",""
"fps","fpsyeartotals","10","totalincome","money","NO",""
"fps","fpsyeartotals","11","budget_cvl","money","YES",""
